Sad,9.348483
Losing_your_point,0.184717
Sad,0.70568
Losing_your_point,0.21
Sad,0.150124
Losing_your_point,0.144917
Sad,0.168249
Losing_your_point,0.611731
Sad,0.153015
Losing_your_point,0.135326
Sad,0.615876
Losing_your_point,0.44998
Sad,0.141681
Happy,0.335375
Losing_your_point,0.300722
Happy,0.158189
Sad,0.152463
Happy,0.173353
Losing_your_point,0.314642
Happy,1.561732
Losing_your_point,0.667517
Sad,2.062332
Losing_your_point,0.138163
Sad,0.290872
Losing_your_point,0.525859
Sad,0.15684
